,Y1
(Intercept),0.685825355429919
h(5.00163-X63),0.0448273553911274
h(X4-0.506443),-0.138918019179142
h(0.506443-X4),0.500357183860294
h(X1-5224.61),1.40137831059772e-05
h(5224.61-X1),-3.81964158886541e-05
h(X74-169.744),0.00571736249927183
h(169.744-X74),-0.000223064887219112
h(X43-7.56442),-0.0468707423675051
h(0.0110964-X65),13.6014600026264
h(7010.97-X2),-1.16858766318336e-05
h(X54-93.1873),-0.0238476085444391
h(93.1873-X54),-0.00133662683338837
h(X49-2.59068),-0.0157560165738984
h(2.59068-X49),-0.211707079261395
h(X48-649.427),5.6847043267823e-05
h(649.427-X48),0.000501336355580138
